,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
139,11/27/2024,2024-11-28,Amazon.com*Z312Z21I0,Shopping,Sale,-19.37,,,
140,11/27/2024,2024-11-28,Amazon.com*Z312561H0,Shopping,Sale,-20.13,,,
141,11/24/2024,2024-11-25,Amazon.com*5P4WF3MA3,Shopping,Sale,-19.8,,,
142,11/15/2024,2024-11-17,AMAZON MKTPL*QN82L2RJ3,Shopping,Sale,-7.53,,,
143,11/12/2024,2024-11-13,Spectrum,Bills & Utilities,Sale,-73.24,,,
144,11/11/2024,2024-11-12,AMAZON MKTPL*DA46Y6YL3,Shopping,Sale,-7.53,,,
145,11/07/2024,2024-11-08,AMAZON MKTPL*XH2CO2I73,Shopping,Sale,-20.46,,,
146,11/06/2024,2024-11-06,Payment Thank You-Mobile,,Payment,294.5,,,
147,11/05/2024,2024-11-06,Amazon.com*XR7RC0GD3,Shopping,Sale,-22.56,,,
148,11/04/2024,2024-11-04,Kindle Unltd*QC0I61OG3,Shopping,Sale,-11.99,,,
149,11/02/2024,2024-11-03,Amazon Prime*2Z2EX4OJ3,Bills & Utilities,Sale,-16.15,,,
