,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
61,05/29/2025,2025-05-30,GOOGLE *YouTube,Entertainment,Sale,-7.99,,,
62,05/22/2025,2025-05-25,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-2.99,,,
63,05/22/2025,2025-05-25,TRADER JOE S #224,Groceries,Sale,-9.99,,,
64,05/22/2025,2025-05-25,AZTEC MARKET ASU 802,Gifts & Donations,Sale,-4.79,,,
65,05/21/2025,2025-05-23,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.0,,,
66,05/21/2025,2025-05-22,SDSU,Education,Sale,-7.42,,,
67,05/20/2025,2025-05-22,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.0,,,
68,05/20/2025,2025-05-22,VONS #2370,Groceries,Sale,-12.07,,,
69,05/20/2025,2025-05-21,SDSU,Education,Sale,-7.42,,,
70,05/16/2025,2025-05-19,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-2.99,,,
71,05/16/2025,2025-05-16,Payment Thank You-Mobile,,Payment,88.63,,,
72,05/11/2025,2025-05-16,SUPER 8 MOTELS,Travel,Return,100.0,,,
73,05/13/2025,2025-05-15,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-2.99,,,
74,05/13/2025,2025-05-15,BRIER PATCH,Health & Wellness,Return,15.0,,,
75,05/13/2025,2025-05-15,BRIER PATCH,Health & Wellness,Return,15.0,,,
76,05/11/2025,2025-05-13,91272 - DALLAS ON STREET,Travel,Sale,-1.5,,,
77,05/11/2025,2025-05-13,ROSS STORE #491,Shopping,Sale,-84.36,,,
78,05/12/2025,2025-05-12,Payment Thank You-Mobile,,Payment,448.52,,,
79,05/10/2025,2025-05-12,WHATABURGER 338    Q26,Food & Drink,Sale,-32.77,,,
80,05/10/2025,2025-05-11,WAL-MART #5416,Groceries,Sale,-1.23,,,
81,05/10/2025,2025-05-11,SUPER 8 MOTELS,Travel,Sale,-157.12,,,
82,05/09/2025,2025-05-11,EINSTEIN'S TERMINAL 1,Food & Drink,Sale,-7.57,,,
83,05/10/2025,2025-05-11,SUPER 8 MOTELS,Travel,Sale,-100.0,,,
84,05/06/2025,2025-05-08,RALPHS #0077,Groceries,Sale,-71.59,,,
85,05/05/2025,2025-05-07,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-3.39,,,
86,05/05/2025,2025-05-06,SDSU,Education,Sale,-7.42,,,
87,04/29/2025,2025-05-01,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.0,,,
88,04/29/2025,2025-05-01,BRIER PATCH,Health & Wellness,Sale,-30.0,,,
89,04/29/2025,2025-05-01,TRADER JOE S #224,Groceries,Sale,-25.43,,,
