,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
1124,10/28/2023,2023-10-29,MATE PLATINO,Shopping,Sale,-38.9,,,
1125,10/27/2023,2023-10-27,AUTOMATIC PAYMENT - THANK,,Payment,1517.2,,,
1126,10/09/2023,2023-10-11,RALPHS 0077,Groceries,Sale,-5.49,,,
1127,10/05/2023,2023-10-06,UCSD PARKING,Education,Sale,-5.7,,,
1128,10/04/2023,2023-10-05,IN N OUT BURGER 128,Food & Drink,Sale,-17.46,,,
1129,10/04/2023,2023-10-04,RELIANT PARKING,Travel,Sale,-15.0,,,
1130,10/03/2023,2023-10-04,NORM REEVES TOYOTA,Automotive,Sale,-900.0,,,
1131,10/01/2023,2023-10-03,COPA AIR    2302183381951,Travel,Sale,-746.9,,,
1132,10/02/2023,2023-10-02,AMERICAN AIR0012483549014,Travel,Sale,-329.7,,,
1133,10/02/2023,2023-10-02,AMERICAN AIR0012483549015,Travel,Sale,-329.7,,,
1134,09/30/2023,2023-10-02,DENNY'S #8743,Food & Drink,Sale,-49.65,,,
1135,10/01/2023,2023-10-02,SUPERSTARCARWASH MISSION,Automotive,Sale,-15.0,,,
1136,10/01/2023,2023-10-01,Payment Thank You - Web,,Payment,1383.29,,,
1137,09/30/2023,2023-10-01,NORTHGATE MARKET #036,Groceries,Sale,-34.52,,,
1138,09/28/2023,2023-10-01,CASQUA COMIDA COLOMBI,Food & Drink,Sale,-11.73,,,
