,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
343,10/27/2023,2023-10-29,CROSS BORDER XPRESS,Personal,Sale,-75.9,,,
344,10/26/2023,2023-10-29,5GUYS 0560 QSR,Food & Drink,Sale,-36.27,,,
345,10/27/2023,2023-10-27,WWW.MEXICOACH.COM,Travel,Sale,-28.0,,,
346,10/26/2023,2023-10-27,MARSHALLS #0546,Shopping,Sale,-43.09,,,
347,10/24/2023,2023-10-25,ZION MARKET SAN DIEGO,Groceries,Sale,-64.1,,,
348,10/23/2023,2023-10-25,RALPHS 0077,Groceries,Sale,-12.59,,,
349,10/23/2023,2023-10-24,NORTHGATE MARKET #036,Groceries,Sale,-101.68,,,
350,10/22/2023,2023-10-23,RALPHS 0077,Groceries,Sale,-32.69,,,
351,10/22/2023,2023-10-23,UCSD PARKING MOBILE EBIZ,Travel,Sale,-3.15,,,
352,10/20/2023,2023-10-22,COSTCO GAS #0488,Gas,Sale,-34.89,,,
353,10/20/2023,2023-10-22,COSTCO WHSE #0488,Shopping,Sale,-51.53,,,
354,10/20/2023,2023-10-22,GOOGLE *TikTok Live,Professional Services,Sale,-0.99,,,
355,10/21/2023,2023-10-22,SD TAPROOM,Food & Drink,Sale,-45.77,,,
356,10/20/2023,2023-10-22,COSTCO WHSE #0488,Shopping,Sale,-11.14,,,
357,10/21/2023,2023-10-22,SD TAPROOM,Food & Drink,Sale,-28.08,,,
358,10/18/2023,2023-10-19,TST* FERNSIDE,Food & Drink,Sale,-33.4,,,
359,10/17/2023,2023-10-18,GEICO  *AUTO,Bills & Utilities,Sale,-659.07,,,
360,10/17/2023,2023-10-18,PAYPAL *SPOTIFYUSAI,Bills & Utilities,Sale,-14.99,,,
361,10/17/2023,2023-10-18,IN N OUT BURGER 128,Food & Drink,Sale,-17.46,,,
362,10/16/2023,2023-10-17,FOOD4LESS 0333,Groceries,Sale,-6.49,,,
363,10/15/2023,2023-10-17,TARGET        00014100,Shopping,Sale,-62.31,,,
364,10/15/2023,2023-10-16,TST* RISE AND SHINE - BRE,Food & Drink,Sale,-13.0,,,
365,10/16/2023,2023-10-16,Amazon.com*TP1JG4K80,Shopping,Sale,-12.65,,,
366,10/14/2023,2023-10-15,REGENT UNIV CA SAN DIE,Education,Sale,-0.08,,,
367,10/14/2023,2023-10-15,REGENT UNIV CA SAN DIE,Education,Sale,-3.0,,,
368,10/14/2023,2023-10-15,DICE.FM,Entertainment,Sale,-48.42,,,
369,10/11/2023,2023-10-13,IN N OUT BURGER 128,Food & Drink,Sale,-17.46,,,
370,10/11/2023,2023-10-13,FOOD4LESS 0333,Groceries,Sale,-51.99,,,
371,10/12/2023,2023-10-13,Spectrum,Bills & Utilities,Sale,-54.99,,,
372,10/11/2023,2023-10-12,UCSD PARKING MOBILE EBIZ,Travel,Sale,-4.2,,,
373,10/09/2023,2023-10-10,Amazon.com*TE4ES2B10,Shopping,Sale,-26.92,,,
374,10/08/2023,2023-10-09,IN N OUT BURGER 128,Food & Drink,Sale,-17.46,,,
375,10/07/2023,2023-10-08,AMZN Mktp US*T92TU0S31,Shopping,Sale,-32.86,,,
376,10/05/2023,2023-10-06,Amazon.com*TE6KO0CH0,Shopping,Sale,-6.65,,,
377,10/06/2023,2023-10-06,AMZN Mktp US*TE6KY3A02,Shopping,Sale,-15.07,,,
378,10/05/2023,2023-10-06,Amazon.com*TE3KP1CV0,Shopping,Sale,-8.38,,,
379,10/05/2023,2023-10-06,AMZN Mktp US*TE7211CN0,Shopping,Sale,-9.69,,,
380,10/04/2023,2023-10-05,COSTCO WHSE #0488,Shopping,Sale,-89.49,,,
381,10/04/2023,2023-10-05,COSTCO WHSE #0488,Shopping,Sale,-5.78,,,
382,10/02/2023,2023-10-03,AMZN Mktp US*T90A787S2,Shopping,Sale,-22.4,,,
383,10/02/2023,2023-10-03,Amazon.com*T11TV7U41,Shopping,Sale,-20.24,,,
384,10/02/2023,2023-10-03,AMZN Mktp US*T91X92712,Shopping,Sale,-24.77,,,
385,10/01/2023,2023-10-02,AGI*RENTERS/CONDO INS,Bills & Utilities,Sale,-215.0,,,
386,10/02/2023,2023-10-02,Amazon Prime*T94MO07Q2,Bills & Utilities,Sale,-16.15,,,
387,10/02/2023,2023-10-02,AMZN Mktp US*T93Z76PK0,Shopping,Sale,-10.76,,,
