,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
255,03/30/2024,2024-03-31,AMZN Mktp US*D342G48S3,Shopping,Sale,-24.11,,,
256,03/30/2024,2024-03-31,Payment Thank You - Web,,Payment,1325.29,,,
257,03/24/2024,2024-03-25,AMZN Mktp US*RA3EA2FC2,Shopping,Sale,-7.53,,,
258,03/24/2024,2024-03-25,AMZN Mktp US*RA1MO3HL0,Shopping,Sale,-14.0,,,
259,03/24/2024,2024-03-25,AMZN Mktp US*RA2HH6XT0,Shopping,Sale,-12.92,,,
260,03/25/2024,2024-03-25,AMZN Mktp US*RH0M13VW1,Shopping,Sale,-18.31,,,
261,03/17/2024,2024-03-18,GEICO  *AUTO,Bills & Utilities,Sale,-962.78,,,
262,03/17/2024,2024-03-18,PAYPAL *SPOTIFYUSAI,Bills & Utilities,Sale,-14.99,,,
263,03/16/2024,2024-03-17,AMZN Mktp US*R60IP1742,Shopping,Sale,-7.4,,,
264,03/16/2024,2024-03-17,Amazon.com*R64EA1KS2,Shopping,Sale,-3.92,,,
265,03/12/2024,2024-03-13,Spectrum,Bills & Utilities,Sale,-56.99,,,
266,03/08/2024,2024-03-10,AMZN Mktp US*R65WB2T20,Shopping,Sale,-18.31,,,
267,03/09/2024,2024-03-10,AMZN Mktp US*R65FP3E10,Shopping,Sale,-14.0,,,
268,03/07/2024,2024-03-08,SDSU,Education,Sale,-15.0,,,
269,03/04/2024,2024-03-05,Amazon.com*RZ2OZ8X61,Shopping,Sale,-21.54,,,
270,03/04/2024,2024-03-05,Amazon.com*RZ0BP0ME1,Shopping,Sale,-122.07,,,
271,03/03/2024,2024-03-04,AMZN Mktp US*RZ3YL4KL2,Shopping,Sale,-19.38,,,
272,03/03/2024,2024-03-03,Payment Thank You - Web,,Payment,585.22,,,
273,03/02/2024,2024-03-03,Amazon Prime*RZ3YM7BY2,Bills & Utilities,Sale,-16.15,,,
