,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
680,07/29/2024,2024-07-30,COSTCO GAS #0488,Gas,Sale,-33.22,,,
681,07/29/2024,2024-07-30,PETCO VITAL CARE 4200,Shopping,Sale,-26.93,,,
682,07/26/2024,2024-07-28,MTS- PRONTO,Travel,Sale,-10.0,,,
683,07/27/2024,2024-07-28,CROSS BORDER XPRESS,Personal,Sale,-45.95,,,
684,07/24/2024,2024-07-26,RALPHS #0077,Groceries,Sale,-21.13,,,
685,07/25/2024,2024-07-26,SDSU,Education,Sale,-7.42,,,
686,07/25/2024,2024-07-26,USPS CHANGE OF ADDRESS,Shopping,Sale,-1.1,,,
687,07/23/2024,2024-07-24,FASTRAK VIOLATION CENT,Travel,Sale,-9.75,,,
688,07/22/2024,2024-07-24,RALPHS #0077,Groceries,Sale,-146.4,,,
689,07/22/2024,2024-07-23,SDSU,Education,Sale,-7.42,,,
690,07/21/2024,2024-07-23,TRADER JOE S #020,Groceries,Sale,-3.79,,,
691,07/21/2024,2024-07-22,RALPHS #0108,Groceries,Sale,-14.91,,,
692,07/20/2024,2024-07-22,IN-N-OUT SDMISSIONVALL,Food & Drink,Sale,-18.64,,,
693,07/19/2024,2024-07-21,OXXO MALECON,Groceries,Sale,-3.06,,,
694,07/17/2024,2024-07-19,OXXOPERIFERICO ORIENTE,Groceries,Sale,-4.45,,,
695,07/15/2024,2024-07-17,TELCEL RECARGAS FONY,Bills & Utilities,Sale,-11.33,,,
696,07/12/2024,2024-07-17,HUDSON T 6,Shopping,Sale,-3.41,,,
697,07/15/2024,2024-07-16,ITALIAN MOTUL,Food & Drink,Sale,-4.43,,,
698,07/12/2024,2024-07-14,TST* NOTHING BUNDT CAKES,Food & Drink,Sale,-20.0,,,
699,07/12/2024,2024-07-14,SDSU,Education,Sale,-16.0,,,
700,07/12/2024,2024-07-14,INAMI KIOSKO MU,Bills & Utilities,Sale,-40.52,,,
701,07/11/2024,2024-07-14,PHILS BBQ SANTEE RESTAURA,Food & Drink,Sale,-40.19,,,
702,07/12/2024,2024-07-12,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.0,,,
703,07/06/2024,2024-07-09,JOXER DALY`S,Food & Drink,Sale,-10.81,,,
704,07/07/2024,2024-07-08,NORTHGATE MARKET #036,Groceries,Sale,-86.34,,,
705,07/06/2024,2024-07-08,ARCO #42085,Gas,Sale,-19.98,,,
706,07/08/2024,2024-07-08,Tacos El Gordo - Chula Vi,Food & Drink,Sale,-41.17,,,
707,07/07/2024,2024-07-08,ARCO #42382 AMPM,Gas,Sale,-12.82,,,
708,07/05/2024,2024-07-07,GDIT USEMBASSY MRVFEE,Personal,Sale,-185.0,,,
709,07/06/2024,2024-07-07,LEO S TACOS FOOD TRUCK V,Food & Drink,Sale,-26.23,,,
710,07/07/2024,2024-07-07,CRUNCHYROLL *MEMBERSHI,Bills & Utilities,Sale,-11.99,,,
711,07/06/2024,2024-07-07,Payment Thank You-Mobile,,Payment,3220.74,,,
712,07/05/2024,2024-07-07,SOAPY JOE'S CAR WASH - M,Automotive,Sale,-13.0,,,
713,07/04/2024,2024-07-07,VONS #2012,Groceries,Sale,-12.07,,,
714,07/06/2024,2024-07-07,PARKING METERS - IPS,Bills & Utilities,Sale,-2.0,,,
715,07/04/2024,2024-07-05,GOOGLE *YouTubePremium,Entertainment,Sale,-7.99,,,
716,07/03/2024,2024-07-04,UCSD STUDENT HEALTH SVC,Health & Wellness,Sale,-5.0,,,
717,07/03/2024,2024-07-04,TARGET        00033696,Shopping,Sale,-2.99,,,
718,07/03/2024,2024-07-04,NORTHGATE MARKET #036,Groceries,Sale,-86.89,,,
719,07/02/2024,2024-07-03,COSTCO GAS #0488,Gas,Sale,-35.22,,,
720,07/02/2024,2024-07-02,VIX.COM,Bills & Utilities,Sale,-4.99,,,
