,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
90,04/30/2025,2025-04-30,Payment Thank You-Mobile,,Payment,291.98,,,
91,04/29/2025,2025-04-30,GOOGLE *YouTube,Entertainment,Sale,-7.99,,,
92,04/28/2025,2025-04-30,TRADER JOE S #224,Groceries,Sale,-17.25,,,
93,04/28/2025,2025-04-30,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-3.53,,,
94,04/25/2025,2025-04-28,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-3.39,,,
95,04/25/2025,2025-04-28,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-2.99,,,
96,04/24/2025,2025-04-27,ROSS STORE #348,Shopping,Return,56.01,,,
97,04/24/2025,2025-04-25,URGENT CARE AND MORE,Health & Wellness,Sale,-15.0,,,
98,04/23/2025,2025-04-25,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.0,,,
99,04/23/2025,2025-04-23,WWW.MAJEST* WWW.MAJEST,Health & Wellness,Sale,-60.0,,,
100,04/23/2025,2025-04-23,WWW.MAJEST* WWW.MAJEST,Health & Wellness,Sale,-27.0,,,
101,04/18/2025,2025-04-21,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.0,,,
102,04/17/2025,2025-04-20,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.0,,,
103,04/19/2025,2025-04-20,M&amp;M MARKET,Shopping,Sale,-7.38,,,
104,04/16/2025,2025-04-18,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-0.54,,,
105,04/15/2025,2025-04-17,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-3.93,,,
106,04/15/2025,2025-04-17,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-4.79,,,
107,04/13/2025,2025-04-15,TARGET        00014100,Shopping,Sale,-30.24,,,
108,04/10/2025,2025-04-13,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.0,,,
109,04/11/2025,2025-04-13,RALPHS #0077,Groceries,Sale,-18.73,,,
110,04/10/2025,2025-04-13,BRIER PATCH,Health & Wellness,Sale,-30.0,,,
111,04/09/2025,2025-04-11,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.0,,,
112,04/08/2025,2025-04-10,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-64.0,,,
113,04/06/2025,2025-04-06,Payment Thank You-Mobile,,Payment,1094.88,,,
114,04/02/2025,2025-04-04,HYATT REGENCY CRYSTAL CI,Travel,Sale,-945.99,,,
115,04/02/2025,2025-04-04,BISTRO ATELIER,Food & Drink,Sale,-29.59,,,
116,04/02/2025,2025-04-04,HYATT REG CRYSTAL CT F&amp;B,Food & Drink,Sale,-29.5,,,
117,04/01/2025,2025-04-03,HYATT REG CRYSTAL CT F&amp;B,Food & Drink,Sale,-19.6,,,
118,03/31/2025,2025-04-02,HYATT REG CRYSTAL CT F&amp;B,Food & Drink,Sale,-19.6,,,
119,04/01/2025,2025-04-01,Payment Thank You-Mobile,,Payment,337.41,,,
120,03/30/2025,2025-04-01,SAN QDOBA T2W 6251391,Food & Drink,Sale,-24.28,,,
121,04/01/2025,2025-04-01,LANTERN RESTAURANT,Food & Drink,Sale,-26.32,,,
