,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
216,05/27/2024,2024-05-28,Amazon.com*MF82C4SY3,Shopping,Sale,-23.68,,,
217,05/20/2024,2024-05-21,UCSD PARKING MOBILE EBIZ,Travel,Sale,-5.7,,,
218,05/20/2024,2024-05-21,SDSU,Education,Sale,-15.0,,,
219,05/20/2024,2024-05-20,AMZN Mktp US*O68NE2D53,Shopping,Sale,-45.23,,,
220,05/15/2024,2024-05-15,AMZN Mktp US*SM6KC3YT3,Shopping,Sale,-6.45,,,
221,05/13/2024,2024-05-14,SDSU,Education,Sale,-15.0,,,
222,05/13/2024,2024-05-14,AMZN Mktp US*J898X3GW3,Shopping,Sale,-272.61,,,
223,05/12/2024,2024-05-13,Spectrum,Bills & Utilities,Sale,-56.99,,,
224,05/10/2024,2024-05-12,AMZN Mktp US*SU7ED8603,Shopping,Sale,-13.57,,,
225,05/07/2024,2024-05-08,AMZN Mktp US*BI1ON5M63,Shopping,Sale,-28.07,,,
226,05/07/2024,2024-05-08,Amazon.com*6C85C5NK3,Shopping,Sale,-6.39,,,
227,05/08/2024,2024-05-08,AMZN Mktp US*ZO4VK3JF3,Shopping,Sale,-4.31,,,
228,05/06/2024,2024-05-07,AMZN Mktp US*173DT5NA3,Shopping,Sale,-64.6,,,
229,05/06/2024,2024-05-07,AMZN Mktp US*SC29Z37C3,Shopping,Sale,-24.77,,,
230,05/03/2024,2024-05-05,Amazon.com*2A8M12XT3,Shopping,Sale,-13.78,,,
231,05/04/2024,2024-05-05,AMZN Mktp US*0N4G08ZL3,Shopping,Sale,-1.36,,,
232,05/03/2024,2024-05-05,UBER   TRIP,Travel,Sale,-54.99,,,
233,05/03/2024,2024-05-03,Payment Thank You - Web,,Payment,359.55,,,
234,05/02/2024,2024-05-03,Amazon Prime*I408P6VU3,Bills & Utilities,Sale,-16.15,,,
235,05/02/2024,2024-05-03,UBER   TRIP,Travel,Sale,-24.29,,,
236,04/30/2024,2024-05-01,AMZN Mktp US*511U84E43,Shopping,Sale,-20.43,,,
237,05/01/2024,2024-05-01,UBER   TRIP,Travel,Sale,-8.66,,,
