,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
54,05/28/2024,2024-05-29,SDSU,Education,Sale,-15.0,,,
55,05/21/2024,2024-05-23,BURGER KING #16576 Q07,Food & Drink,Sale,-9.58,,,
56,05/11/2024,2024-05-13,TST* II GIARDINO DI LILLI,Food & Drink,Sale,-27.9,,,
57,05/10/2024,2024-05-13,FACULTY STAFF CLUB 472,Groceries,Sale,-15.0,,,
58,05/09/2024,2024-05-12,AZTEC MARKET BELL PAVI,Groceries,Sale,-3.39,,,
59,05/02/2024,2024-05-05,MARRIOTT CAMBRIDGE,Travel,Sale,-911.63,,,
60,05/03/2024,2024-05-03,Payment Thank You - Web,,Payment,80.82,,,
61,05/01/2024,2024-05-02,CVS/PHARMACY #11242,Health & Wellness,Sale,-2.24,,,
62,05/01/2024,2024-05-02,TST* FLOUR BAKERY + CAFE,Food & Drink,Sale,-19.05,,,
63,05/01/2024,2024-05-02,TST* FLOUR BAKERY + CAFE,Food & Drink,Sale,-13.91,,,
64,04/30/2024,2024-05-01,MBTA SCIENCE PARK,Travel,Sale,-2.4,,,
65,04/30/2024,2024-05-01,MBTA KENDALL,Travel,Sale,-4.8,,,
66,04/30/2024,2024-05-01,TST* TRIDENT BOOK SELLERS,Food & Drink,Sale,-6.32,,,
67,04/29/2024,2024-05-01,TST* ZA CAMBRIDGE,Food & Drink,Sale,-24.13,,,
