,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
800,05/29/2024,2024-05-30,PETCO VITAL CARE 4200,Shopping,Sale,-26.93,,,
801,05/28/2024,2024-05-29,TARGET        00014100,Shopping,Sale,-32.85,,,
802,05/27/2024,2024-05-28,RALPHS #0077,Groceries,Sale,-9.49,,,
803,05/26/2024,2024-05-28,IN-N-OUT SDMISSIONVALL,Food & Drink,Sale,-18.64,,,
804,05/26/2024,2024-05-28,IHOP #0824,Food & Drink,Sale,-10.6,,,
805,05/27/2024,2024-05-28,RALPHS #0077,Groceries,Sale,-11.71,,,
806,05/26/2024,2024-05-27,WALGREENS #6094,Health & Wellness,Sale,-4.71,,,
807,05/26/2024,2024-05-27,COSTCO WHSE #0488,Shopping,Sale,-195.25,,,
808,05/26/2024,2024-05-27,WALGREENS #6094,Health & Wellness,Sale,-3.99,,,
809,05/26/2024,2024-05-27,WALGREENS #6094,Health & Wellness,Sale,-16.69,,,
810,05/24/2024,2024-05-26,ROSS STORE #348,Shopping,Sale,-23.3,,,
811,05/24/2024,2024-05-26,TARGET        00014100,Shopping,Sale,-8.61,,,
812,05/24/2024,2024-05-26,TST* EL VIEJON SEAFOOD,Food & Drink,Sale,-49.25,,,
813,05/22/2024,2024-05-24,ROSS STORE #348,Shopping,Sale,-69.89,,,
814,05/22/2024,2024-05-23,TST* EL VIEJON SEAFOOD,Food & Drink,Sale,-17.62,,,
815,05/22/2024,2024-05-23,TST* EL VIEJON SEAFOOD,Food & Drink,Sale,-18.16,,,
816,05/22/2024,2024-05-23,COSTCO GAS #0488,Gas,Sale,-37.77,,,
817,05/17/2024,2024-05-19,RALPHS #0077,Groceries,Sale,-47.62,,,
818,05/18/2024,2024-05-19,M&amp;M MARKET,Shopping,Sale,-6.7,,,
819,05/14/2024,2024-05-15,NORTHGATE MARKET #036,Groceries,Sale,-72.07,,,
820,05/13/2024,2024-05-15,IN-N-OUT SDMISSIONVALL,Food & Drink,Sale,-18.64,,,
821,05/13/2024,2024-05-14,COSTCO GAS #0488,Gas,Sale,-38.73,,,
822,05/12/2024,2024-05-12,Tacos El Gordo - Chula Vi,Food & Drink,Sale,-45.46,,,
823,05/12/2024,2024-05-12,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.0,,,
824,05/09/2024,2024-05-10,A - MART OLD TOWN,Groceries,Sale,-10.49,,,
825,05/07/2024,2024-05-09,RALPHS #0077,Groceries,Sale,-24.79,,,
826,05/06/2024,2024-05-07,USPS PO 0566040168,Shopping,Sale,-5.91,,,
827,05/06/2024,2024-05-07,RALPHS #0077,Groceries,Sale,-9.77,,,
828,05/04/2024,2024-05-06,FOOD4LESS #0333,Groceries,Sale,-104.33,,,
829,05/04/2024,2024-05-05,GOOGLE *YouTubePremium,Shopping,Sale,-7.99,,,
830,05/03/2024,2024-05-05,RALPHS #0077,Groceries,Sale,-11.09,,,
831,05/03/2024,2024-05-03,Payment Thank You - Web,,Payment,1808.72,,,
832,04/28/2024,2024-05-01,OXXO XCUMPICH,Groceries,Sale,-6.6,,,
833,04/30/2024,2024-05-01,COSTCO GAS #0488,Gas,Sale,-39.16,,,
834,04/29/2024,2024-05-01,WENDY'S #11956-515,Food & Drink,Sale,-13.3,,,
