,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
202,06/25/2024,2024-06-26,AMAZON MKTPL*RG0YE9UM2,Shopping,Sale,-18.31,,,
203,06/23/2024,2024-06-24,76 - PETRO WHEELER RID,Gas,Sale,-8.98,,,
204,06/15/2024,2024-06-16,POSTAL ANNEX + # 0043,Personal,Sale,-17.51,,,
205,06/15/2024,2024-06-16,AMAZON MKTPL*UA2ZV5ET3,Shopping,Sale,-16.11,,,
206,06/12/2024,2024-06-13,Spectrum,Bills & Utilities,Sale,-56.99,,,
207,06/12/2024,2024-06-13,AMZN Mktp US*BB6QO0IR3,Shopping,Sale,-28.0,,,
208,06/12/2024,2024-06-13,SDSU,Education,Sale,-7.0,,,
209,06/11/2024,2024-06-12,REGENT UNIV CA SAN DIE,Education,Sale,-0.11,,,
210,06/11/2024,2024-06-12,REGENT UNIV CA SAN DIE,Education,Sale,-4.0,,,
211,06/08/2024,2024-06-09,AMZN Mktp US*8L01C3FK3,Shopping,Sale,-25.85,,,
212,06/08/2024,2024-06-09,AMZN Mktp US*W65AQ1OY3,Shopping,Sale,-9.69,,,
213,06/05/2024,2024-06-05,Payment Thank You - Web,,Payment,735.55,,,
214,06/02/2024,2024-06-03,AMZN Mktp US*V376N3593,Shopping,Sale,-26.46,,,
215,06/02/2024,2024-06-03,Amazon Prime*WO94N89O3,Bills & Utilities,Sale,-16.15,,,
