,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
721,06/28/2024,2024-06-30,FINEST CITY IMPROV,Food & Drink,Sale,-14.01,,,
722,06/29/2024,2024-06-30,RALPHS #0077,Groceries,Sale,-25.63,,,
723,06/28/2024,2024-06-30,FINEST CITY IMPROV,Food & Drink,Sale,-72.0,,,
724,06/29/2024,2024-06-30,PETCO VITAL CARE 4200,Shopping,Sale,-26.93,,,
725,06/28/2024,2024-06-30,5GUYS 0560 QSR,Food & Drink,Sale,-38.21,,,
726,06/28/2024,2024-06-30,CITYSD PARKING 28881,Travel,Sale,-1.75,,,
727,06/27/2024,2024-06-28,USPS PO 0566100116,Shopping,Sale,-1.8,,,
728,06/23/2024,2024-06-25,BEST WESTERN PREMIER C,Travel,Sale,-159.6,,,
729,06/23/2024,2024-06-25,IN-N-OUT TEJON RANCH,Food & Drink,Sale,-20.57,,,
730,06/23/2024,2024-06-25,LORIS DINER,Food & Drink,Sale,-57.68,,,
731,06/22/2024,2024-06-24,ESCAPE FROM NY PIZZA,Food & Drink,Sale,-15.49,,,
732,06/22/2024,2024-06-24,TCB*MTA METER MTA P,Travel,Sale,-0.63,,,
733,06/22/2024,2024-06-24,MTA METER PRT MCKAY,Travel,Sale,-8.25,,,
734,06/23/2024,2024-06-24,76 - PETRO WHEELER RID,Gas,Sale,-45.35,,,
735,06/20/2024,2024-06-23,CHOWDER HUT,Food & Drink,Sale,-30.05,,,
736,06/22/2024,2024-06-23,SQ *KUALI,Groceries,Sale,-18.0,,,
737,06/21/2024,2024-06-23,GREAT EASTERN RESTAURANT,Food & Drink,Sale,-57.0,,,
738,06/21/2024,2024-06-23,SFMTA MUNI MOBILE,Travel,Sale,-5.0,,,
739,06/22/2024,2024-06-23,MUIR WOODS,Shopping,Sale,-7.5,,,
740,06/21/2024,2024-06-23,SFMTA MUNI MOBILE,Travel,Sale,-5.0,,,
741,06/20/2024,2024-06-23,BISCOFF COFFEE CORNER,Food & Drink,Sale,-9.82,,,
742,06/22/2024,2024-06-23,SQ *NUSA LLC - FERRY PLAZ,Food & Drink,Sale,-12.75,,,
743,06/22/2024,2024-06-23,SQ *GUMBO SOCIAL,Food & Drink,Sale,-15.0,,,
744,06/22/2024,2024-06-23,SQ *SONIA ROJAS PRODUCE,Groceries,Sale,-4.0,,,
745,06/22/2024,2024-06-23,MUIR SPACE 4288,Travel,Sale,-37.5,,,
746,06/22/2024,2024-06-23,SQ *94103,Food & Drink,Sale,-20.64,,,
747,06/21/2024,2024-06-23,BOUDIN BAKERY  PIER 39,Food & Drink,Sale,-19.23,,,
748,06/21/2024,2024-06-23,7-ELEVEN 34977,Gas,Sale,-16.57,,,
749,06/20/2024,2024-06-23,CREPE CAFE ANC,Food & Drink,Sale,-14.45,,,
750,06/21/2024,2024-06-23,ALCATRAZ CITY CRUISES,Food & Drink,Sale,-7.0,,,
751,06/22/2024,2024-06-23,SQ *SECRET IMPROV SOCIETY,Entertainment,Sale,-20.0,,,
752,06/20/2024,2024-06-21,SFMTA MUNI MOBILE,Travel,Sale,-5.0,,,
753,06/20/2024,2024-06-21,WALGREENS #7043,Health & Wellness,Sale,-13.57,,,
754,06/20/2024,2024-06-21,IT'SUGAR JEFFERSON,Food & Drink,Sale,-5.43,,,
755,06/20/2024,2024-06-21,SFMTA MUNI MOBILE,Travel,Sale,-5.0,,,
756,06/18/2024,2024-06-20,IN-N-OUT SAN CLEMENTE,Food & Drink,Sale,-1.4,,,
757,06/18/2024,2024-06-20,IN-N-OUT SAN CLEMENTE,Food & Drink,Sale,-18.64,,,
758,06/19/2024,2024-06-20,CHEVRON 0096293,Gas,Sale,-29.79,,,
759,06/19/2024,2024-06-20,SECRETIMPROV.COM,Entertainment,Sale,-52.76,,,
760,06/19/2024,2024-06-20,BUELLFLAT ROCK COMPANY G,Gas,Sale,-33.86,,,
761,06/19/2024,2024-06-20,HUNAN HOUSE,Food & Drink,Sale,-40.7,,,
762,06/19/2024,2024-06-20,SQ *GOOD SEED COFFEE BOUT,Food & Drink,Sale,-12.6,,,
763,06/17/2024,2024-06-19,RALPHS #0077,Groceries,Sale,-110.05,,,
764,06/19/2024,2024-06-19,PTI* OSTRICHLAND USA,Travel,Sale,-17.6,,,
765,06/17/2024,2024-06-19,WWW.ALCATRAZISLANDTICKETS,Shopping,Sale,-16.0,,,
766,06/17/2024,2024-06-19,THE EXPLORATORIUM,Entertainment,Sale,-39.9,,,
767,06/17/2024,2024-06-18,ALCATRAZ CRUISES,Travel,Sale,-90.5,,,
768,06/18/2024,2024-06-18,SQ *FACING EAST NOODLE &amp;,Food & Drink,Sale,-37.4,,,
769,06/17/2024,2024-06-18,BKGHOTEL AT BOOKING.C,Travel,Sale,-88.14,,,
770,06/17/2024,2024-06-18,COSTCO GAS #0488,Gas,Sale,-35.53,,,
771,06/15/2024,2024-06-17,VONS #2120,Groceries,Sale,-28.38,,,
772,06/16/2024,2024-06-17,TM *LA COTORRISA,Entertainment,Sale,-214.5,,,
773,06/15/2024,2024-06-17,STAPLES       00103085,Shopping,Sale,-5.7,,,
774,06/17/2024,2024-06-17,BKGBOOKING.COM HOTEL,Travel,Sale,-505.19,,,
775,06/15/2024,2024-06-16,PETCO 0583,Shopping,Sale,-66.05,,,
776,06/14/2024,2024-06-16,Tacos El Gordo - Chula Vi,Food & Drink,Sale,-45.46,,,
777,06/14/2024,2024-06-16,LEMONGRASS,Food & Drink,Sale,-8.3,,,
778,06/12/2024,2024-06-14,ROSS STORE #348,Shopping,Return,21.54,,,
779,06/11/2024,2024-06-12,SQ *SPECIAL EVENT LOCATIO,Food & Drink,Sale,-9.03,,,
780,06/12/2024,2024-06-12,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.0,,,
781,06/10/2024,2024-06-12,RALPHS #0077,Groceries,Sale,-31.95,,,
782,06/10/2024,2024-06-11,COSTCO WHSE #0488,Shopping,Sale,-106.54,,,
783,06/08/2024,2024-06-09,SQ *SOMISOMI,Food & Drink,Sale,-13.9,,,
784,06/07/2024,2024-06-09,UCSD PARKING MOBILE EBIZ,Travel,Sale,-2.85,,,
785,06/07/2024,2024-06-09,PETCO 0581,Shopping,Sale,-84.9,,,
786,06/07/2024,2024-06-09,PETCO 0581,Shopping,Sale,-18.97,,,
787,06/07/2024,2024-06-09,RALPHS #0077,Groceries,Sale,-63.94,,,
788,06/08/2024,2024-06-09,MINT MOBILE,Bills & Utilities,Sale,-263.75,,,
789,06/07/2024,2024-06-09,ROSS STORE #348,Shopping,Sale,-113.06,,,
