,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
351,01/29/2025,2025-01-30,NORTHGATE MARKET #036,Groceries,Sale,-100.75,,,
352,01/29/2025,2025-01-30,PETCO VITAL CARE 4200,Shopping,Sale,-26.93,,,
353,01/27/2025,2025-01-29,FLAVORFULL,Food & Drink,Sale,-14.94,,,
354,01/26/2025,2025-01-29,IN-N-OUT SDMISSIONVALL,Food & Drink,Sale,-21.17,,,
355,01/25/2025,2025-01-28,HERTZTOLL 574638341,Travel,Sale,-13.78,,,
356,01/24/2025,2025-01-28,RALPHS #0077,Groceries,Sale,-12.73,,,
357,01/25/2025,2025-01-28,RALPHS #0077,Groceries,Sale,-20.06,,,
358,01/24/2025,2025-01-26,PETCO 0559,Shopping,Sale,-4.29,,,
359,01/23/2025,2025-01-24,DOCUPET PET LICENSING,Personal,Sale,-20.78,,,
360,01/22/2025,2025-01-23,NORTHGATE MARKET #036,Groceries,Sale,-65.72,,,
361,01/21/2025,2025-01-22,COSTCO WHSE #0488,Shopping,Sale,-93.98,,,
362,01/20/2025,2025-01-21,CTLP*National Entertai,Food & Drink,Sale,-1.0,,,
363,01/18/2025,2025-01-20,DENNY'S #8743,Food & Drink,Sale,-67.04,,,
364,01/17/2025,2025-01-19,COSTCO GAS #0488,Gas,Sale,-29.92,,,
365,01/16/2025,2025-01-17,RALPHS #0077,Groceries,Sale,-28.98,,,
366,01/16/2025,2025-01-17,WHOLEFDS LAJ 10066,Groceries,Sale,-5.33,,,
367,01/16/2025,2025-01-17,WHOLEFDS LAJ 10066,Groceries,Sale,-34.0,,,
368,01/15/2025,2025-01-16,HERTZTOLL 574638341,Travel,Sale,-68.65,,,
369,01/15/2025,2025-01-16,TST*BCB CAFE - UCSD - SC,Food & Drink,Sale,-11.84,,,
370,01/14/2025,2025-01-15,M&amp;M MARKET,Shopping,Sale,-5.19,,,
371,01/13/2025,2025-01-14,TST*MENYA ULTRA CLAIREMO,Food & Drink,Sale,-63.71,,,
372,01/13/2025,2025-01-14,SQ *SUL &amp; BEANS CONVOY,Food & Drink,Sale,-9.35,,,
373,01/12/2025,2025-01-13,BODHISD.COM,Personal,Sale,-157.72,,,
374,01/12/2025,2025-01-13,NORTHGATE MARKET #031,Groceries,Sale,-112.92,,,
375,01/12/2025,2025-01-12,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.0,,,
376,01/10/2025,2025-01-12,RALPHS #0077,Groceries,Sale,-99.78,,,
377,01/11/2025,2025-01-12,NATURALCYCLES,Health & Wellness,Sale,-123.09,,,
378,01/08/2025,2025-01-10,TST*IL CORALLO,Food & Drink,Sale,-152.07,,,
379,01/08/2025,2025-01-10,TST*LAIT CRU 2,Food & Drink,Sale,-55.18,,,
380,01/09/2025,2025-01-10,Tacos El Gordo - Chula Vi,Food & Drink,Sale,-32.6,,,
381,01/09/2025,2025-01-10,GOOGLE *Google One,Shopping,Sale,-2.99,,,
382,01/07/2025,2025-01-09,INSOMNIA COOKIES -PENN,Food & Drink,Sale,-5.43,,,
383,01/07/2025,2025-01-08,123 FRESH MARKET,Groceries,Sale,-8.11,,,
384,01/07/2025,2025-01-08,SQ *SHAKE SHACK,Food & Drink,Sale,-45.42,,,
385,01/07/2025,2025-01-08,SQ *SHAKE SHACK,Food & Drink,Sale,-27.16,,,
386,01/07/2025,2025-01-08,SQ *SHAKE SHACK,Food & Drink,Sale,-14.84,,,
387,01/07/2025,2025-01-08,PTI*EV,Entertainment,Sale,-6.0,,,
388,01/06/2025,2025-01-07,Payment Thank You - Web,,Payment,6190.46,,,
389,01/05/2025,2025-01-07,MTA*METROCARD MACHINE,Travel,Sale,-34.0,,,
390,01/06/2025,2025-01-07,TST*IL CORALLO,Food & Drink,Sale,-133.43,,,
391,01/06/2025,2025-01-07,STATUE LIBERTY CROWNCAFE,Entertainment,Sale,-4.25,,,
392,01/05/2025,2025-01-07,MTA*METROCARD MACHINE,Travel,Sale,-34.0,,,
393,01/05/2025,2025-01-07,KATZS DELICATESSEN,Food & Drink,Sale,-142.19,,,
394,01/04/2025,2025-01-06,HYATT PLACE,Travel,Return,418.28,,,
395,01/04/2025,2025-01-06,MAMAS FASHION,Shopping,Sale,-35.0,,,
396,01/04/2025,2025-01-06,DENNY'S #8853,Food & Drink,Sale,-117.32,,,
