,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
1169,08/30/2023,2023-08-31,RALPHS 0108,Groceries,Sale,-11.19,,,
1170,08/27/2023,2023-08-29,FOOD4LESS 0333,Groceries,Sale,-5.14,,,
1171,08/27/2023,2023-08-29,ROSS STORE #348,Shopping,Sale,-25.83,,,
1172,08/27/2023,2023-08-28,TST* Salvatores SD- McGu,Food & Drink,Sale,-69.27,,,
1173,08/27/2023,2023-08-28,JFGSD,Gifts & Donations,Sale,-24.0,,,
1174,08/25/2023,2023-08-27,ALESMITH BREWING COMPA,Food & Drink,Sale,-5.89,,,
1175,08/25/2023,2023-08-27,RALPHS 0077,Groceries,Sale,-3.16,,,
1176,08/26/2023,2023-08-27,NORTHGATE MARKET #036,Groceries,Sale,-27.12,,,
1177,08/25/2023,2023-08-27,RALPHS 0077,Groceries,Sale,-7.99,,,
1178,08/25/2023,2023-08-27,ALESMITH BREWING COMPA,Food & Drink,Sale,-18.24,,,
