,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
395,08/28/2023,2023-08-29,SDSU,Education,Sale,-7.0,,,
396,08/27/2023,2023-08-28,AMZN Mktp US*T33Q15ZM1,Shopping,Sale,-13.86,,,
397,08/26/2023,2023-08-27,Amazon.com*T359V6C41,Shopping,Sale,-23.69,,,
398,08/25/2023,2023-08-27,UC SAN DIEGO BOOKSTORE,Education,Sale,-44.11,,,
399,08/24/2023,2023-08-25,NORTHGATE MARKET #036,Groceries,Sale,-77.05,,,
400,08/24/2023,2023-08-25,CL *Chase Travel,Travel,Sale,-583.25,,,
401,08/24/2023,2023-08-25,COSTCO WHSE #0488,Shopping,Sale,-23.13,,,
402,08/23/2023,2023-08-24,Tacos El Gordo - Chula Vi,Food & Drink,Sale,-49.74,,,
403,08/23/2023,2023-08-24,SQ *AN'S DRY CLEANING,Groceries,Sale,-9.43,,,
404,08/23/2023,2023-08-24,WAL-MART #5338,Shopping,Sale,-29.41,,,
405,08/21/2023,2023-08-22,COSTCO WHSE #0488,Shopping,Return,53.87,,,
406,08/21/2023,2023-08-22,COSTCO WHSE #0488,Shopping,Sale,-33.84,,,
407,08/21/2023,2023-08-22,SDSU,Education,Sale,-15.0,,,
408,08/21/2023,2023-08-22,COSTCO WHSE #0488,Shopping,Sale,-5.78,,,
409,08/20/2023,2023-08-21,AMZN Mktp US*TQ55C7NR1,Shopping,Sale,-10.76,,,
410,08/20/2023,2023-08-21,AMZN Mktp US*TQ6KA2EB0,Shopping,Sale,-7.53,,,
411,08/18/2023,2023-08-20,COSTCO WHSE #0488,Shopping,Sale,-172.97,,,
412,08/18/2023,2023-08-20,COSTCO WHSE #0488,Shopping,Return,62.75,,,
413,08/18/2023,2023-08-20,IN N OUT BURGER 128,Food & Drink,Sale,-17.46,,,
414,08/18/2023,2023-08-20,COSTCO WHSE #0488,Shopping,Sale,-3.22,,,
415,08/18/2023,2023-08-20,LOWES #01013*,Home,Sale,-16.1,,,
416,08/18/2023,2023-08-20,CVS/PHARMACY #09109,Health & Wellness,Sale,-14.39,,,
417,08/18/2023,2023-08-20,CVS/PHARMACY #09963,Health & Wellness,Sale,-35.0,,,
418,08/16/2023,2023-08-18,FOOD4LESS 0333,Groceries,Sale,-20.14,,,
419,08/17/2023,2023-08-18,PAYPAL *SPOTIFYUSAI,Bills & Utilities,Sale,-12.99,,,
420,08/15/2023,2023-08-16,SDSU,Education,Sale,-7.0,,,
421,08/14/2023,2023-08-15,Amazon.com*TO97S8SV2,Shopping,Sale,-24.77,,,
422,08/13/2023,2023-08-14,COSTCO WHSE #0488,Shopping,Sale,-117.95,,,
423,08/13/2023,2023-08-14,WAL-MART #2479,Groceries,Sale,-30.06,,,
424,08/13/2023,2023-08-14,FOOD4LESS 0333,Groceries,Sale,-78.52,,,
425,08/10/2023,2023-08-11,NORTHGATE MARKET #036,Groceries,Sale,-57.97,,,
426,08/10/2023,2023-08-11,SQ *ART OF ESPRESSO,Food & Drink,Sale,-10.0,,,
427,08/08/2023,2023-08-09,UCSD HDH CLUB MED,Education,Sale,-3.17,,,
428,08/06/2023,2023-08-07,Amazon.com*TA4M17EF0,Shopping,Sale,-16.3,,,
