,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
33,06/29/2025,2025-06-30,GOOGLE *YouTube,Bills & Utilities,Sale,-7.99,,,
34,06/29/2025,2025-06-30,RALPHS #0077,Groceries,Sale,-32.04,,,
35,06/26/2025,2025-06-29,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-0.5,,,
36,06/26/2025,2025-06-29,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-2.39,,,
37,06/25/2025,2025-06-27,AZTEC RECREATION,Education,Sale,-53.41,,,
38,06/24/2025,2025-06-26,TRADER JOE S #224,Groceries,Sale,-4.98,,,
39,06/25/2025,2025-06-26,NORTHGATE MARKET #036,Groceries,Sale,-73.96,,,
40,06/21/2025,2025-06-23,AURORA LA LLC,Food & Drink,Sale,-15.0,,,
41,06/20/2025,2025-06-22,91124-PANDA PAGODA,Food & Drink,Sale,-17.23,,,
42,06/18/2025,2025-06-19,CTLP*INNOVATIVE FOTO,Entertainment,Sale,-8.0,,,
43,06/17/2025,2025-06-18,COUSIN'S CANDY SHOP,Food & Drink,Sale,-10.94,,,
44,06/16/2025,2025-06-17,CTLP*INNOVATIVE FOTO,Entertainment,Sale,-8.0,,,
45,06/15/2025,2025-06-17,UCSD HDH INCREDI-BOWLS,Education,Sale,-8.0,,,
46,06/13/2025,2025-06-15,TRADER JOE S #224,Groceries,Sale,-3.79,,,
47,06/13/2025,2025-06-15,DOMINO'S 7701,Food & Drink,Sale,-51.7,,,
48,06/12/2025,2025-06-15,AZTEC MARKET ASU 802,Gifts & Donations,Sale,-4.79,,,
49,06/12/2025,2025-06-12,Payment Thank You-Mobile,,Payment,90.28,,,
50,06/10/2025,2025-06-12,AZTEC MARKET ASU 802,Gifts & Donations,Sale,-4.79,,,
51,06/11/2025,2025-06-12,SDSU,Education,Sale,-7.42,,,
52,06/10/2025,2025-06-12,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-2.99,,,
53,06/09/2025,2025-06-11,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.0,,,
54,06/09/2025,2025-06-10,SDSU,Education,Sale,-7.42,,,
55,06/06/2025,2025-06-09,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.0,,,
56,06/03/2025,2025-06-05,AZTEC MARKET ASU 802,Gifts & Donations,Sale,-4.79,,,
57,06/02/2025,2025-06-04,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.0,,,
58,05/30/2025,2025-06-02,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.0,,,
59,05/30/2025,2025-06-01,SDSU,Education,Sale,-7.42,,,
60,05/29/2025,2025-06-01,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.0,,,
