,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
32,06/29/2025,2025-06-30,MINT MOBILE,Bills & Utilities,Sale,-21.0,,,
33,06/17/2025,2025-06-18,Amazon.com*NO66J5GZ2,Shopping,Sale,-24.75,,,
34,06/13/2025,2025-06-15,AMAZON MKTPL*NA1GH3C11,Shopping,Sale,-16.14,,,
35,06/12/2025,2025-06-15,AMAZON MKTPL*NH8454WJ1,Shopping,Sale,-118.51,,,
36,06/12/2025,2025-06-13,Spectrum,Bills & Utilities,Sale,-76.24,,,
37,06/10/2025,2025-06-11,AMAZON MKTPL*NH50O5GK1,Shopping,Sale,-69.8,,,
38,06/03/2025,2025-06-04,AMAZON MKTPL*N69BJ3JA0,Shopping,Sale,-30.7,,,
39,06/03/2025,2025-06-04,Amazon.com*N603M40X1,Shopping,Sale,-15.95,,,
40,06/03/2025,2025-06-04,Amazon.com*N62275NE0,Shopping,Sale,-10.67,,,
41,06/02/2025,2025-06-03,AMAZON PRIME*N69GW4NF1,Bills & Utilities,Sale,-16.15,,,
42,06/02/2025,2025-06-02,Payment Thank You - Web,,Payment,239.95,,,
