,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
963,01/30/2024,2024-01-31,PETCO 0559,Shopping,Sale,-205.92,,,
964,01/30/2024,2024-01-31,PETCO 0559,Shopping,Sale,-16.15,,,
965,01/30/2024,2024-01-31,INTUIT *TURBOTAX,Shopping,Sale,-138.0,,,
966,01/29/2024,2024-01-30,PETCO VITAL CARE 4200,Shopping,Sale,-26.93,,,
967,01/28/2024,2024-01-30,ROSS STORE #348,Shopping,Sale,-58.1,,,
968,01/28/2024,2024-01-29,PETSMART # 2449,Shopping,Sale,-104.43,,,
969,01/28/2024,2024-01-28,AUTOMATIC PAYMENT - THANK,,Payment,194.83,,,
970,01/27/2024,2024-01-28,RALPHS 0077,Groceries,Sale,-94.76,,,
971,01/27/2024,2024-01-28,COSTCO GAS #0488,Gas,Sale,-31.71,,,
972,01/25/2024,2024-01-26,PANDA EXPRESS #786,Food & Drink,Sale,-9.7,,,
973,01/23/2024,2024-01-24,COSTCO WHSE #0488,Shopping,Sale,-241.79,,,
974,01/20/2024,2024-01-22,RALPHS 0077,Groceries,Sale,-15.96,,,
975,01/20/2024,2024-01-21,GOODWILL INDUSTRIES #46,Shopping,Sale,-17.98,,,
976,01/19/2024,2024-01-21,AGASERVICECO MAR   TT,Bills & Utilities,Sale,-21.73,,,
977,01/19/2024,2024-01-21,RALPHS 0077,Groceries,Sale,-3.99,,,
978,01/19/2024,2024-01-21,NORTHGATE MARKET #036,Groceries,Sale,-135.93,,,
979,01/18/2024,2024-01-19,Tacos El Gordo - Chula Vi,Food & Drink,Sale,-36.89,,,
980,01/18/2024,2024-01-19,RALPHS 0108,Groceries,Sale,-25.2,,,
981,01/17/2024,2024-01-18,COSTCO GAS #0488,Gas,Sale,-28.95,,,
982,01/17/2024,2024-01-18,COSTCO WHSE #0488,Shopping,Sale,-4.5,,,
983,01/16/2024,2024-01-17,M&amp;M MARKET,Shopping,Sale,-2.6,,,
984,01/15/2024,2024-01-17,FOOD4LESS 0333,Groceries,Sale,-5.18,,,
985,01/16/2024,2024-01-17,SDSU,Education,Sale,-164.0,,,
986,01/15/2024,2024-01-16,LIVING SPACES MISSION VAL,Home,Sale,-349.11,,,
987,01/15/2024,2024-01-16,Tacos El Gordo - Chula Vi,Food & Drink,Sale,-41.17,,,
988,01/15/2024,2024-01-16,T.J. MAXX #1476,Shopping,Sale,-341.38,,,
989,01/13/2024,2024-01-15,PHILS BBQ POINT LOMA REST,Food & Drink,Sale,-55.9,,,
990,01/13/2024,2024-01-15,FOOD4LESS 0333,Groceries,Sale,-22.17,,,
991,01/14/2024,2024-01-15,MINT MOBILE,Bills & Utilities,Sale,-24.33,,,
992,01/13/2024,2024-01-14,TARGET        00014100,Shopping,Sale,-34.47,,,
993,01/13/2024,2024-01-14,RALPHS 0077,Groceries,Sale,-10.98,,,
994,01/12/2024,2024-01-14,RALPHS 0077,Groceries,Sale,-5.49,,,
995,01/12/2024,2024-01-14,TARGET        00014100,Shopping,Sale,-10.55,,,
996,01/12/2024,2024-01-12,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.0,,,
997,01/08/2024,2024-01-11,AMERICAN AIRLINES,Travel,Sale,-31.18,,,
998,01/09/2024,2024-01-11,OCEANDRIVE PRIVE 12 MAIR,Shopping,Sale,-11.38,,,
999,01/10/2024,2024-01-11,INAI PTE. LTD.,Shopping,Sale,-9.9,,,
1000,01/10/2024,2024-01-11,NORTHGATE MARKET #036,Groceries,Sale,-127.71,,,
1001,01/09/2024,2024-01-11,NAYAX VENDING 45,Food & Drink,Sale,-10.0,,,
1002,01/10/2024,2024-01-11,MCDONALD'S F6981,Food & Drink,Sale,-31.75,,,
1003,01/09/2024,2024-01-10,FD *CA DMV VFC *SVC,Bills & Utilities,Sale,-0.9,,,
1004,01/09/2024,2024-01-10,FD *CA DMV VFC,Bills & Utilities,Sale,-45.0,,,
1005,01/08/2024,2024-01-10,DROGAS COL FARMA SUC P,Health & Wellness,Sale,-2.85,,,
1006,01/08/2024,2024-01-10,BOLD*Artesanias JE,Professional Services,Sale,-26.99,,,
1007,01/06/2024,2024-01-09,CINEMARK LA COLINA,Entertainment,Sale,-50.95,,,
1008,01/06/2024,2024-01-09,FARMATODO COLINA,Health & Wellness,Sale,-20.65,,,
