,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
5,07/30/2025,2025-07-31,COSTCO GAS #0488,Gas,Sale,-29.85,,,
6,07/29/2025,2025-07-31,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.0,,,
7,07/29/2025,2025-07-31,TRADER JOE S #222,Groceries,Sale,-10.47,,,
8,07/29/2025,2025-07-30,GOOGLE *YouTube,Bills & Utilities,Sale,-7.99,,,
9,07/26/2025,2025-07-28,VONS #2012,Groceries,Sale,-14.32,,,
10,07/24/2025,2025-07-27,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-3.39,,,
11,07/23/2025,2025-07-25,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.0,,,
12,07/23/2025,2025-07-24,NORTHGATE MARKET #036,Groceries,Sale,-68.62,,,
13,07/22/2025,2025-07-24,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.0,,,
14,07/20/2025,2025-07-22,M&amp;M MARKET,Shopping,Sale,-4.15,,,
15,07/21/2025,2025-07-21,IC* INSTACART,Groceries,Sale,-104.39,,,
16,07/14/2025,2025-07-15,SDSU,Education,Sale,-45.0,,,
17,07/12/2025,2025-07-14,ALASKA AIR  0272111230328,Travel,Sale,-35.0,,,
18,07/12/2025,2025-07-13,TST*PERCH CANTINA,Food & Drink,Sale,-18.2,,,
19,07/11/2025,2025-07-13,TOWNEPLACE SUITES RICH,Travel,Sale,-9.5,,,
20,07/11/2025,2025-07-13,TST*THE BRADLEY,Food & Drink,Sale,-33.28,,,
21,07/10/2025,2025-07-13,APPLEBEES 2107018,Food & Drink,Sale,-22.16,,,
22,07/11/2025,2025-07-11,AUTOMATIC PAYMENT - THANK,,Payment,15.2,,,
23,07/09/2025,2025-07-11,APPLEBEES 2107018,Food & Drink,Sale,-34.36,,,
24,07/10/2025,2025-07-10,WP*kayakbateman.com,Travel,Sale,-52.2,,,
25,07/08/2025,2025-07-10,DRUMHELLERS FOOD &amp; DRI,Food & Drink,Sale,-49.24,,,
26,07/07/2025,2025-07-09,TST*LU LU CRAFT BAR AND,Food & Drink,Sale,-33.8,,,
27,07/06/2025,2025-07-08,TOWNEPLACE SUITES RICH,Travel,Sale,-4.0,,,
28,07/06/2025,2025-07-08,SAN PEETS COFFEE T2E 4310,Food & Drink,Sale,-8.51,,,
29,07/06/2025,2025-07-07,TARGET        00008300,Shopping,Sale,-31.53,,,
30,07/06/2025,2025-07-07,MAHARAJA THE TASTE OF IN,Food & Drink,Sale,-36.88,,,
31,07/04/2025,2025-07-06,TST* PRIMOS MEXICAN FOOD,Food & Drink,Sale,-16.35,,,
32,07/01/2025,2025-07-02,PARKING.SDSU.EDU,Travel,Sale,-17.0,,,
