,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
3,07/29/2025,2025-07-30,PAYPAL *DOFUS WAKFU INVOI,Entertainment,Sale,-5.07,,,
4,07/26/2025,2025-07-27,Amazon.com*LD23P8DE3,Shopping,Sale,-51.17,,,
5,07/25/2025,2025-07-27,AMAZON MKTPL*Q73RN35S3,Shopping,Sale,-30.16,,,
6,07/22/2025,2025-07-23,AMAZON MKTPL*6T5WY1A63,Shopping,Sale,-31.96,,,
7,07/21/2025,2025-07-22,AMAZON MKTPL*CO6307203,Shopping,Sale,-20.5,,,
8,07/21/2025,2025-07-22,AMAZON MKTPL*N76UN1B43,Shopping,Sale,-191.93,,,
9,07/21/2025,2025-07-22,AMAZON MKTPL*8A98Q0D43,Shopping,Sale,-48.5,,,
10,07/21/2025,2025-07-22,AMAZON MKTPL*762EZ2VE3,Shopping,Sale,-6.6,,,
11,07/21/2025,2025-07-22,AMAZON MKTPL*5A2JV9BZ3,Shopping,Sale,-62.83,,,
12,07/20/2025,2025-07-21,Amazon.com*N83TO3VX3,Shopping,Sale,-68.96,,,
13,07/19/2025,2025-07-20,AMAZON MKTPL*EC5708NB3,Shopping,Sale,-20.46,,,
14,07/17/2025,2025-07-18,AMAZON MKTPL*R28TT1QJ3,Shopping,Sale,-13.52,,,
15,07/14/2025,2025-07-15,AMAZON MKTPL*B96D31BR3,Shopping,Sale,-11.01,,,
16,07/13/2025,2025-07-15,Amazon.com*NR1SA4321,Shopping,Sale,-44.09,,,
17,07/13/2025,2025-07-14,UBER   *TRIP,Travel,Sale,-31.99,,,
18,07/13/2025,2025-07-14,Amazon.com*IF5DP6RR3,Shopping,Sale,-16.53,,,
19,07/12/2025,2025-07-13,Spectrum,Bills & Utilities,Sale,-76.24,,,
20,07/07/2025,2025-07-08,UBER   *TRIP,Travel,Sale,-17.93,,,
21,07/07/2025,2025-07-08,UBER   *TRIP,Travel,Sale,-18.95,,,
22,07/06/2025,2025-07-07,MINT MOBILE,Bills & Utilities,Sale,-21.0,,,
23,07/07/2025,2025-07-07,UBER   *TRIP,Travel,Sale,-30.92,,,
24,07/03/2025,2025-07-04,AMAZON MKTPL*N31FX31C1,Shopping,Sale,-18.31,,,
25,07/02/2025,2025-07-03,AMAZON MKTPL*N30KH12I2,Shopping,Sale,-7.53,,,
26,07/02/2025,2025-07-03,AMAZON PRIME*N315U3J00,Bills & Utilities,Sale,-16.15,,,
27,07/01/2025,2025-07-02,AMAZON MKTPL*N335C5OU0,Shopping,Sale,-9.64,,,
28,07/01/2025,2025-07-01,Payment Thank You - Web,,Payment,399.91,,,
29,06/30/2025,2025-07-01,AMAZON MKTPL*N35TK0MT2,Shopping,Sale,-10.76,,,
30,06/30/2025,2025-07-01,AMAZON MKTPL*NQ6T18RF0,Shopping,Sale,-19.32,,,
31,06/30/2025,2025-07-01,AMAZON MKTPL*NQ95A1UU0,Shopping,Sale,-20.14,,,
