,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
118,12/28/2024,2024-12-30,MTA*METROCARD MACHINE,Travel,Sale,-35.0,,,
119,12/28/2024,2024-12-30,MTA*METROCARD MACHINE,Travel,Sale,-35.0,,,
120,12/24/2024,2024-12-24,AMAZON MKTPL*ZE88F1HM2,Shopping,Sale,-22.62,,,
121,12/17/2024,2024-12-17,AMAZON MKTPL*Z110684S1,Shopping,Sale,-20.46,,,
122,12/16/2024,2024-12-17,AMAZON MKTPL*Z16ON8902,Shopping,Sale,-27.57,,,
123,12/15/2024,2024-12-16,AMAZON MKTPL*Z18MI43D0,Shopping,Sale,-21.54,,,
124,12/15/2024,2024-12-16,AMAZON MKTPL*Z196M93G0,Shopping,Sale,-17.88,,,
125,12/15/2024,2024-12-16,AMAZON MKTPL*Z172N5NN0,Shopping,Sale,-26.93,,,
126,12/12/2024,2024-12-13,Spectrum,Bills & Utilities,Sale,-73.24,,,
127,12/11/2024,2024-12-12,AMAZON MKTPL*ZX8CN9DB2,Shopping,Sale,-18.31,,,
128,12/11/2024,2024-12-12,AMAZON MKTPL*ZX2FA9D52,Shopping,Sale,-20.46,,,
129,12/11/2024,2024-12-12,AMAZON MKTPL*ZX1FW2DL2,Shopping,Sale,-7.32,,,
130,12/08/2024,2024-12-09,Amazon.com*ZX76U34F2,Shopping,Sale,-9.68,,,
131,12/08/2024,2024-12-08,Payment Thank You - Web,,Payment,338.22,,,
132,12/04/2024,2024-12-05,Kindle Unltd*ZL9YC07S2,Shopping,Sale,-11.99,,,
133,12/03/2024,2024-12-04,Amazon.com*ZL80W9BF2,Shopping,Sale,-38.72,,,
134,12/02/2024,2024-12-03,Amazon Prime*Z368349Y1,Bills & Utilities,Sale,-16.15,,,
135,11/29/2024,2024-12-01,AMAZON MKTPL*Z35VL3Q32,Shopping,Sale,-21.54,,,
136,11/30/2024,2024-12-01,AMAZON MKTPL*Z31D129G2,Shopping,Sale,-21.54,,,
137,11/29/2024,2024-12-01,Amazon.com*Z309W47P0,Shopping,Sale,-11.06,,,
138,11/29/2024,2024-12-01,AMAZON MKTPL*Z35BM2SH2,Shopping,Sale,-26.6,,,
